time,Backup:backupCopyFilesCount,Backup:backupCopyFilesMs,BtreeOp:nBinDeltaDelete,BtreeOp:nBinDeltaGet,BtreeOp:nBinDeltaInsert,BtreeOp:nBinDeltaUpdate,BtreeOp:nRootSplits,BtreeOp:relatchesRequired,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:activeLogSize,Cleaning:availableLogSize,Cleaning:maxPredictedUtilization,Cleaning:maxUtilization,Cleaning:minPredictedUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsExtinct,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nPendingDBsIncomplete,Cleaning:nPendingDBsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRevisalRuns,Cleaning:nTwoPassRuns,Cleaning:pendingDBQueueSize,Cleaning:pendingLNQueueSize,Cleaning:protectedLogSize,Cleaning:protectedLogSizeMap,Cleaning:reservedLogSize,Cleaning:totalLogSize,Environment:environmentCreationTime,Eraser:eraserCycleEnd,Eraser:eraserCycleStart,Eraser:eraserFSyncs,Eraser:eraserFilesAlreadyDeleted,Eraser:eraserFilesDeleted,Eraser:eraserFilesErased,Eraser:eraserFilesRemaining,Eraser:eraserReadBytes,Eraser:eraserReads,Eraser:eraserWriteBytes,Eraser:eraserWrites,I/O:bufferBytes,I/O:endOfLog,I/O:fSync95Ms,I/O:fSync99Ms,I/O:fSyncAvgMs,I/O:fSyncMaxMs,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncRequests,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nRepeatIteratorReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:G1 Concurrent GC.count,Jvm:G1 Concurrent GC.time,Jvm:G1 Old Generation.count,Jvm:G1 Old Generation.time,Jvm:G1 Young Generation.count,Jvm:G1 Young Generation.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate,TaskCoordinator:nApplicationPermits,TaskCoordinator:nDeficitPermits,TaskCoordinator:nRealPermits
2024-10-04 20:46:31.238 UTC, , , , , , , , , ,125,8325917,5180064, , ,242, ,43924, , , , , , , , , ,242,7, , , ,87,1,4, ,719, , , , , , , , , , , ,42857, , ,1377,1,744,744, , , , ,1427,73140555776,-1,-1,-1,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1728074191033,,, , , , , , , , , ,3145728,1538, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , ,10,13,226051408,-1, , , , , , , , , , ,1, ,2, , , , , , , , , , , , , , , , , , , , , , ,350, ,2042, ,714,20088,21739, , , , , , , , , , 
2024-10-04 20:47:31.240 UTC, , , , , , , , , ,125,8494925,5349072, , ,252, ,31150, , , , , , , , , ,252,7, , , ,89,1,4, ,619, , , , , , , , , , , ,30495, , ,1377,1,744,744, , , , ,1427,73140555776,-1,-1,-1,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1728074191033,,, , , , , , , , , ,3145728,1538, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , ,8,9,163371288,-1, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , ,300, ,1212, ,612,12442,17439, , , , , , , , , , 
2024-10-04 20:48:31.242 UTC, , , , , , , , , ,125,8961045,5815192, , ,271, ,52499, , , , , , , , , ,271,7, , , ,96,1,4, ,514, , , , , , , , , , , ,51246, , ,1377,1,744,744, , , , ,1427,73140555776,-1,-1,-1,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1728074191033,,, , , , , , , , , ,3145728,1538, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , ,12,15,114095608,-1, , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , ,250, ,2428, ,510,25769,24251, , , , , , , , , , 
2024-10-04 20:49:31.244 UTC, , , , , , , , , ,125,9400149,6254296, , ,293, ,50529, , , , , , , , , ,293,7, , , ,103,1,4, ,616, , , , , , , , , , , ,49352, , ,1377,1,744,744, , , , ,1427,73140555776,-1,-1,-1,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1728074191033,,, , , , , , , , , ,3145728,1538, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , ,11,15,299205592,-1, , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , ,300, ,2272, ,612,24628,23573, , , , , , , , , , 
2024-10-04 20:50:31.246 UTC, , , , , , , , , ,125,9834245,6688392, , ,313, ,51972, , , , , , , , , ,313,7, , , ,110,1,4, ,719, , , , , , , , , , , ,50783, , ,1377,1,744,744, , , , ,1427,73140555776,-1,-1,-1,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1728074191033,,, , , , , , , , , ,3145728,1538, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , ,12,15,329745472,-1, , , , , , , , , , ,2, ,2, , , , , , , , , , , , , , , , , , , , , , ,350, ,2280, ,714,25539,24091, , , , , , , , , , 
2024-10-04 20:51:31.248 UTC, , , , , , , , , ,125,10132437,6986584, , ,330, ,47517, , , , , , , , , ,330,7, , , ,114,1,4, ,616, , , , , , , , , , , ,46673, , ,1377,1,744,744, , , , ,1427,73140555776,-1,-1,-1,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1728074191033,,, , , , , , , , , ,3145728,1538, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , ,11,14,251363320,-1, , , , , , , , , , ,2, ,2, , , , , , , , , , , , , , , , , , , , , , ,300, ,1604, ,612,23528,22330, , , , , , , , , , 
2024-10-04 20:52:31.250 UTC, , , , , , , , , ,125,10478469,7332616, , ,349, ,41208, , , , , , , , , ,349,8, , , ,119,1,4, ,515, , , , , , , , , , , ,40226, , ,1377,1,744,744, , , , ,1427,73140555776,-1,-1,-1,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1728074191033,,, , , , , , , , , ,3145728,1538, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , ,10,13,208870312,-1, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , ,250, ,1880, ,510,18581,20691, , , , , , , , , , 
2024-10-04 20:53:31.252 UTC, , , , , , , , , ,125,10646541,7500688, , ,356, ,33097, , , , , , , , , ,356,8, , , ,121,1,4, ,719, , , , , , , , , , , ,32422, , ,1377,1,744,744, , , , ,1427,73140555776,-1,-1,-1,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1728074191033,,, , , , , , , , , ,3145728,1538, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , ,8,9,263778552,-1, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , ,350, ,1248, ,714,13908,17885, , , , , , , , , , 
2024-10-04 20:54:31.253 UTC, , , , , , , , , ,125,10703749,7557896, , ,356, ,36228, , , , , , , , , ,356,8, , , ,119,1,4, ,616, , , , , , , , , , , ,36183, , ,1377,1,744,744, , , , ,1427,73140555776,-1,-1,-1,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1728074191033,,, , , , , , , , , ,3145728,1538, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , ,9,11,189067664,-1, , , , , , , , , , ,1, ,2, , , , , , , , , , , , , , , , , , , , , , ,300, ,728, ,612,16158,19308, , , , , , , , , , 
2024-10-04 20:55:31.254 UTC, , , , , , , , , ,125,10821253,7675400, , ,367, ,42839, , , , , , , , , ,367,8, , , ,117,1,4, ,413, , , , , , , , , , , ,42810, , ,1377,1,744,744, , , , ,1427,73140555776,-1,-1,-1,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1728074191033,,, , , , , , , , , ,3145728,1538, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , ,10,12,277613088,-1, , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , ,200, ,1038, ,408,20362,21397, , , , , , , , , , 
